"group","year","median","CI_low","CI_high"
"fawn",1992,272.042439603889,227.556915095239,327.132193242111
"fawn",1993,397.237944280652,334.724518742934,464.480115491659
"fawn",1994,317.470735273497,270.622016064846,368.961974238405
"fawn",1995,179.935931647594,141.160555484128,221.945512980392
"fawn",1996,123.961433710773,98.0967838468678,152.49036379331
"fawn",1997,103.239710488218,79.7170993480313,132.877720196963
"fawn",1998,108.469273017527,85.7152111697392,135.471621045695
"fawn",1999,108.581112315149,86.5072707710415,139.543359601447
"fawn",2000,110.694670359937,82.4026818349508,143.294987514332
"fawn",2001,155.772276180451,125.024681205835,192.744724725036
"fawn",2002,180.777192925672,150.445545262756,218.488833453118
"fawn",2003,113.151059080098,84.6256458266267,144.380994106132
"fawn",2004,153.468709674293,122.99118722746,185.42992320281
"fawn",2005,135.45831098171,107.296565420061,169.717173389077
"fawn",2006,104.518465554358,81.1129815824163,133.683281109849
"fawn",2007,113.015613529597,86.04779600508,148.782770792094
"fawn",2008,55.210305805029,33.3859736021387,83.5670186475283
"female",1992,485.016768737887,438.156474593048,535.98382937204
"female",1993,325.104412493604,283.715403227821,368.364306812981
"female",1994,394.65975279417,355.250365744547,437.448208789982
"female",1995,167.313615221239,141.940482303043,192.513267072536
"female",1996,123.784757757295,104.432311043244,145.275571379371
"female",1997,88.0283457879347,71.5649522056712,104.450889712901
"female",1998,87.0760281491336,71.4672479255976,104.246720396255
"female",1999,93.6183235615309,78.4321529080402,111.990956017518
"female",2000,97.7095251832472,82.5592428486657,116.709974465198
"female",2001,114.719588782997,97.0850150530637,134.392810560244
"female",2002,114.383565681113,97.2895943160627,133.57457060846
"female",2003,119.278520436646,102.2519424894,138.390957601199
"female",2004,108.018734967334,91.6488252968633,126.8092267342
"female",2005,82.5263909214991,67.3343210068637,97.9644561907659
"female",2006,60.1207089578996,47.2544327628771,75.6395712379546
"female",2007,40.7667184768032,28.5647834428559,54.7638295242158
"female",2008,32.7115878190114,18.5193793230317,53.1601654094747
"male",1992,138.309940634869,95.7370731004717,214.966186538968
"male",1993,73.6356291022896,45.1805532381888,130.105571810509
"male",1994,161.736883235468,128.419431854853,201.524167138108
"male",1995,72.9507742668582,50.3968015514206,103.703472224225
"male",1996,56.2410728332203,37.2830934022861,80.4584224536768
"male",1997,32.2742879357302,16.4743992146676,54.2007491694987
"male",1998,37.4703716846315,24.5035572327014,56.3314135523185
"male",1999,23.6406808439987,12.2546854298516,40.9189097237902
"male",2000,27.2298936785253,13.6305508427705,47.9628082423245
"male",2001,41.0182719367667,24.9832060382564,63.7408604248228
"male",2002,47.5850252142,32.2918310226385,70.1805301162138
"male",2003,44.4792903854028,27.8047486872426,68.023949865356
"male",2004,45.2044395208333,29.216638873827,67.6982969318648
"male",2005,41.2244173688237,25.7004582696238,62.9640809247049
"male",2006,37.9642817245109,22.2309715527298,62.5708982970566
"male",2007,41.9290956662406,26.1673456395551,66.4738465988777
"male",2008,34.628679263259,18.9712175564711,57.8346974684502
