"group","year","mean","CI_low","CI_high"
"fawn",1992,272.91740861079,227.556915095239,327.132193242111
"fawn",1993,397.375271451488,334.724518742934,464.480115491659
"fawn",1994,318.355961710488,270.622016064846,368.961974238405
"fawn",1995,180.061216895261,141.160555484128,221.945512980392
"fawn",1996,125.044669782052,98.0967838468678,152.49036379331
"fawn",1997,104.191851547532,79.7170993480313,132.877720196963
"fawn",1998,108.989225770815,85.7152111697392,135.471621045695
"fawn",1999,109.686930420071,86.5072707710415,139.543359601447
"fawn",2000,111.553065488221,82.4026818349508,143.294987514332
"fawn",2001,156.117544905122,125.024681205835,192.744724725036
"fawn",2002,181.646931222243,150.445545262756,218.488833453118
"fawn",2003,113.677151190053,84.6256458266267,144.380994106132
"fawn",2004,154.039119595751,122.99118722746,185.42992320281
"fawn",2005,136.370426726597,107.296565420061,169.717173389077
"fawn",2006,105.071250128446,81.1129815824163,133.683281109849
"fawn",2007,113.823211002688,86.04779600508,148.782770792094
"fawn",2008,55.5031974987474,33.3859736021387,83.5670186475283
"female",1992,485.08553821188,438.156474593048,535.98382937204
"female",1993,325.937378784521,283.715403227821,368.364306812981
"female",1994,395.547404085346,355.250365744547,437.448208789982
"female",1995,167.669413128493,141.940482303043,192.513267072536
"female",1996,123.991836636052,104.432311043244,145.275571379371
"female",1997,88.1051351306798,71.5649522056712,104.450889712901
"female",1998,87.2507223123713,71.4672479255976,104.246720396255
"female",1999,93.9854115298477,78.4321529080402,111.990956017518
"female",2000,98.0080699458279,82.5592428486657,116.709974465198
"female",2001,115.025360861056,97.0850150530637,134.392810560244
"female",2002,114.874429730679,97.2895943160627,133.57457060846
"female",2003,119.443985103803,102.2519424894,138.390957601199
"female",2004,108.230348750182,91.6488252968633,126.8092267342
"female",2005,82.4651976438085,67.3343210068637,97.9644561907659
"female",2006,60.4054725048559,47.2544327628771,75.6395712379546
"female",2007,41.0492198403051,28.5647834428559,54.7638295242158
"female",2008,33.3291119517114,18.5193793230317,53.1601654094747
"male",1992,142.676364091577,95.7370731004717,214.966186538968
"male",1993,77.1670696709082,45.1805532381888,130.105571810509
"male",1994,163.019102067874,128.419431854853,201.524167138108
"male",1995,73.9388003581557,50.3968015514206,103.703472224225
"male",1996,57.2404980060039,37.2830934022861,80.4584224536768
"male",1997,32.9650974288983,16.4743992146676,54.2007491694987
"male",1998,38.050550811181,24.5035572327014,56.3314135523185
"male",1999,24.2077775275642,12.2546854298516,40.9189097237902
"male",2000,28.0997975017953,13.6305508427705,47.9628082423245
"male",2001,42.0008743427754,24.9832060382564,63.7408604248228
"male",2002,48.3220380959254,32.2918310226385,70.1805301162138
"male",2003,45.3459191276713,27.8047486872426,68.023949865356
"male",2004,46.3904777648318,29.216638873827,67.6982969318648
"male",2005,41.9079728750055,25.7004582696238,62.9640809247049
"male",2006,38.7451132435595,22.2309715527298,62.5708982970566
"male",2007,43.2723838379219,26.1673456395551,66.4738465988777
"male",2008,35.6649335230876,18.9712175564711,57.8346974684502
