"group","year","median","CI_low","CI_high"
"aerial_det",1992,0.653601493794024,0.572845741937744,0.73756303523488
"aerial_det",1993,0.285702902299873,0.244475895591913,0.336672005811883
"aerial_det",1994,0.264745171183772,0.22873221506134,0.304463936956543
"aerial_det",1995,0.610016517869349,0.519855519678564,0.710264251976486
"aerial_det",1996,0.536219924019503,0.441865910231543,0.652834054006197
"aerial_det",1997,0.382358586270184,0.292541090622428,0.489481502192999
"aerial_det",1998,0.717949635242252,0.582668999108079,0.849938929192017
"aerial_det",1999,0.505994914254494,0.404409907374296,0.628727940301622
"aerial_det",2000,0.547748889795623,0.429741784412592,0.684308218852783
"aerial_det",2001,0.628287438418452,0.522962487586286,0.757323813731942
"aerial_det",2002,0.668304355466638,0.56813920975571,0.782070331903241
"aerial_det",2003,0.444317436554312,0.349732532844337,0.556526869998395
"aerial_det",2004,0.52364396622346,0.431785554564671,0.64256932755187
"aerial_det",2005,0.697800448001906,0.574308964018927,0.836716017707547
"aerial_det",2006,0.696057888926984,0.554941339223616,0.840936431967173
"aerial_det",2007,0.779663121518825,0.618073310832202,0.900948148661094
"aerial_det",2008,0.803948358582996,0.637261062161425,0.920990652396324
