"year","pop_mean","CI_low","CI_high"
1992,722.35624022841,631.584038470619,883.539871612544
1993,548.255516121802,444.399947201305,742.040808659628
1994,654.929339642443,510.250991686586,849.363774574685
1995,387.860155715435,281.325490497597,557.492318954376
1996,228.723260316384,154.527137557941,337.965990139488
1997,156.908309379171,103.1213349822,241.247320123826
1998,124.510435318326,81.7745908615927,194.525032758109
1999,115.310475638265,74.8524228376335,183.930611740688
2000,115.479424919847,71.9157213468862,183.613090340419
2001,131.901575606717,85.9942333466838,206.646544849074
2002,158.378551438852,101.954839379419,249.208612131429
2003,128.85047998334,81.7697637149413,208.004072114009
2004,126.988516529594,82.1410744106037,207.308267699831
2005,110.540142031725,69.3316702006528,181.963474512622
2006,77.6492985502733,49.3247188966061,129.58691237077
2007,71.9370975938213,47.0885931095287,117.785215655025
2008,55.6211423584392,36.3018183194648,91.1646762206076
