"year","p_ctrl"
1992,0
1993,0
1994,0
1995,0
1996,0.007
1997,0.262
1998,0.603
1999,0.679
2000,0.653
2001,0.4505
2002,0.213
2003,0.489
2004,0.4865
2005,0.66
2006,0.944
2007,0.9645
2008,0.996
