"year","p_ctrl"
1992,0
1993,0
1994,0
1995,0
1996,0.035
1997,0.4355
1998,0.779
1999,0.8235
2000,0.8135
2001,0.685
2002,0.4255
2003,0.7055
2004,0.713
2005,0.8535
2006,0.9805
2007,0.9935
2008,0.998
