"year","p_ctrl"
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0.0475
1998,0.129
1999,0.1895
2000,0.1565
2001,0.026
2002,0.004
2003,0.054
2004,0.031
2005,0.0945
2006,0.524
2007,0.5485
2008,0.875
