"year","pop_mean","CI_low","CI_high"
1992,722.35624022841,631.584038470619,883.539871612544
1993,532.844642134231,429.426919969138,726.115019215475
1994,592.469409212944,453.502546650405,795.964867773885
1995,334.868840010494,232.687971331252,495.178810728856
1996,154.288355686659,76.9461358165101,271.439840422957
1997,69.018364577659,34.9172778870856,138.294525764484
1998,32.3601031345063,15.1091332249652,74.6162634986705
1999,28.6405796674143,19.3929827966529,56.8248805959341
2000,27.8911128411646,20.5920752573607,45.1190471547125
2001,34.9021032063853,27.2972557095761,52.854364398301
2002,43.9237541898715,34.3400626911588,64.1341494015695
2003,37.7581093084731,28.7623818169535,56.3510095393144
2004,38.0354204771839,29.2439608544132,55.0127883206606
2005,34.5052853406264,26.9142991702784,47.9379789447826
2006,27.1456745748583,21.4775622500675,35.7823051491111
2007,28.2074751957976,22.0407451006615,35.7462786856428
2008,25.2931060307809,20.2959408330955,32.4310803408058
