"group","Year","pop_median","pop_CI_low","pop_CI_high"
"fawn",1993,123.90884544684,33.3332334952666,209.773141584924
"fawn",1994,-78.2811066645148,-165.741391653558,6.88908623685475
"fawn",1995,-138.704651515358,-206.986149379494,-71.5823972502297
"fawn",1996,-55.4657589685808,-105.799491808529,-7.63331314006161
"fawn",1997,-20.4925455258198,-62.9570441897129,19.167934246448
"fawn",1998,5.10730616050125,-34.5083050777389,42.4120831960861
"fawn",1999,0.196820286342586,-34.5674255783363,39.1602889770659
"fawn",2000,2.02991540442354,-43.1434272465414,43.6119962467024
"fawn",2001,44.9370536188537,-4.09955662491271,93.1665423939663
"fawn",2002,24.9580451396229,-24.6641015235438,75.9052422585244
"fawn",2003,-67.0998624897354,-116.860975014857,-20.1891872185477
"fawn",2004,40.8807826727393,-5.1537147209019,87.0795470665477
"fawn",2005,-17.1027955928614,-61.9137406728552,26.1537726284625
"fawn",2006,-31.2095239674418,-77.5758379565221,13.2622541106361
"fawn",2007,9.12215686533473,-32.5226541018263,51.7384345892703
"fawn",2008,-58.0247798115485,-103.86029793027,-13.0665139450687
