"age_group","intercept","slope","harvest_rate_at_lambda_1","observed_harvest_rate_min","observed_harvest_rate_max","crossing_within_observed_range","r_squared","n_years"
"Female.Fawn",1.32526488628379,-1.31599591649531,0.247162534630059,0.152342953289178,0.59246528302012,TRUE,0.665162574699818,16
"Male.Fawn",1.28001518803093,-1.03500294543891,0.270545305464989,0.193073961944012,0.70172673104898,TRUE,0.436738140239713,16
"Female.Yearling",1.20142129246431,-0.742469764545337,0.271285515023844,0.0812988027557621,0.722766211656048,TRUE,0.435439660157978,16
"Male.Yearling",1.38490435089721,-0.928306409073103,0.414630715823159,0.0958929466798098,0.681823037178861,TRUE,0.497217459138859,16
"Female.Adult",1.38819799410394,-1.28139193824253,0.302950239125402,0.18101683309293,0.687407838957772,TRUE,0.735629726349917,16
"Male.Adult",1.46968410640846,-1.05792746734622,0.443966265084928,0.260973431554385,0.778191300171968,TRUE,0.44014947748485,16
